Image Directory: C:/Users/sujit/PycharmProjects/Road-Sign-Recognition/Dataset/Train/0

Summary Statistics
================================================================================
Total Images Processed: 210

Class                     Count      Avg Confidence      
--------------------------------------------------------------------------------
SPEED LIMIT 20            201        0.9900              
SPEED LIMIT 50            2          0.7917              
SPEED LIMIT 60            2          0.6817              
SPEED LIMIT 30            4          0.8066              
SPEED LIMIT 80            1          0.9050              



Detailed Prediction Results
================================================================================
Image Name                     Predicted Class           Confidence Score    
--------------------------------------------------------------------------------
00000_00000_00000.png          SPEED LIMIT 20            0.9998              
00000_00000_00001.png          SPEED LIMIT 20            1.0000              
00000_00000_00002.png          SPEED LIMIT 20            0.9998              
00000_00000_00003.png          SPEED LIMIT 20            0.9998              
00000_00000_00004.png          SPEED LIMIT 20            0.9814              
00000_00000_00005.png          SPEED LIMIT 20            0.9871              
00000_00000_00006.png          SPEED LIMIT 20            0.9987              
00000_00000_00007.png          SPEED LIMIT 20            0.9998              
00000_00000_00008.png          SPEED LIMIT 20            1.0000              
00000_00000_00009.png          SPEED LIMIT 20            1.0000              
00000_00000_00010.png          SPEED LIMIT 20            1.0000              
00000_00000_00011.png          SPEED LIMIT 20            1.0000              
00000_00000_00012.png          SPEED LIMIT 50            0.8496              
00000_00000_00013.png          SPEED LIMIT 20            1.0000              
00000_00000_00014.png          SPEED LIMIT 20            0.9940              
00000_00000_00015.png          SPEED LIMIT 20            1.0000              
00000_00000_00016.png          SPEED LIMIT 20            1.0000              
00000_00000_00017.png          SPEED LIMIT 20            1.0000              
00000_00000_00018.png          SPEED LIMIT 20            1.0000              
00000_00000_00019.png          SPEED LIMIT 20            1.0000              
00000_00000_00020.png          SPEED LIMIT 50            0.7338              
00000_00000_00021.png          SPEED LIMIT 20            0.9993              
00000_00000_00022.png          SPEED LIMIT 20            0.9981              
00000_00000_00023.png          SPEED LIMIT 20            0.9994              
00000_00000_00024.png          SPEED LIMIT 20            1.0000              
00000_00000_00025.png          SPEED LIMIT 20            1.0000              
00000_00000_00026.png          SPEED LIMIT 20            0.9995              
00000_00000_00027.png          SPEED LIMIT 20            1.0000              
00000_00000_00028.png          SPEED LIMIT 20            0.9995              
00000_00000_00029.png          SPEED LIMIT 20            0.9938              
00000_00001_00000.png          SPEED LIMIT 20            0.9961              
00000_00001_00001.png          SPEED LIMIT 20            0.8142              
00000_00001_00002.png          SPEED LIMIT 20            0.9895              
00000_00001_00003.png          SPEED LIMIT 20            0.7909              
00000_00001_00004.png          SPEED LIMIT 20            0.9994              
00000_00001_00005.png          SPEED LIMIT 20            0.9925              
00000_00001_00006.png          SPEED LIMIT 20            0.9996              
