Image Directory: C:/Users/sujit/PycharmProjects/Road-Sign-Recognition/Dataset/Train/10

Summary Statistics
================================================================================
Total Images Processed: 2010

Class                     Count      Avg Confidence      
--------------------------------------------------------------------------------
 NO OVERTAKING BY TRUCKS  965        0.9250              
SPEED LIMIT 60            132        0.8256              
SPEED LIMIT 70            19         0.7108              
SPEED LIMIT 50            27         0.8430              
NO OVERTAKING             201        0.8391              
END OF SPEED LIMIT 80     60         0.7899              
 ROUNDABOUT               9          0.7017              
 RIGHT BEND               1          0.7468              
SPEED LIMIT 80            131        0.8359              
SPEED LIMIT 120           104        0.7301              
 NO TRUCKS                159        0.7973              
SPEED LIMIT 30            59         0.7566              
 NO ENTRY FOR VEHICLES    19         0.6442              
SPEED LIMIT 100           8          0.7157              
 TURN RIGHT               1          0.8800              
 END OF NO OVERTAKING FOR TRUCKS 3          0.6121              
 TURN LEFT                37         0.7372              
SPEED LIMIT 20            21         0.7550              
 GO STRAIGHT OR RIGHT     7          0.7029              
 END OF NO OVERTAKING     25         0.7371              
 END OF ALL RESTRICTIONS  1          0.7599              
 BUMPY ROAD               1          0.6458              
 TRAFFIC SIGNALS          12         0.7766              
 GO STRAIGHT              2          0.7370              
 PRIORITY ROAD            2          0.5778              
 NO ENTRY                 3          0.8592              
 GO STRAIGHT OR LEFT      1          0.4291              



Detailed Prediction Results
================================================================================
Image Name                     Predicted Class           Confidence Score    
--------------------------------------------------------------------------------
00010_00000_00000.png           NO OVERTAKING BY TRUCKS  0.9986              
00010_00000_00001.png           NO OVERTAKING BY TRUCKS  0.9837              
00010_00000_00002.png           NO OVERTAKING BY TRUCKS  0.9999              
00010_00000_00003.png           NO OVERTAKING BY TRUCKS  0.9994              
00010_00000_00004.png           NO OVERTAKING BY TRUCKS  0.9930              
00010_00000_00005.png           NO OVERTAKING BY TRUCKS  0.9925              
00010_00000_00006.png           NO OVERTAKING BY TRUCKS  0.9974              
00010_00000_00007.png           NO OVERTAKING BY TRUCKS  0.9883              
00010_00000_00008.png           NO OVERTAKING BY TRUCKS  0.9971              
00010_00000_00009.png           NO OVERTAKING BY TRUCKS  0.9505              
00010_00000_00010.png           NO OVERTAKING BY TRUCKS  0.6664              
00010_00000_00011.png           NO OVERTAKING BY TRUCKS  0.9605              
00010_00000_00012.png           NO OVERTAKING BY TRUCKS  0.9000              
00010_00000_00013.png           NO OVERTAKING BY TRUCKS  0.9823              
00010_00000_00014.png           NO OVERTAKING BY TRUCKS  0.7022              
00010_00000_00015.png           NO OVERTAKING BY TRUCKS  0.9985              
00010_00000_00016.png           NO OVERTAKING BY TRUCKS  0.9999              
00010_00000_00017.png           NO OVERTAKING BY TRUCKS  0.9966              
00010_00000_00018.png           NO OVERTAKING BY TRUCKS  0.9784              
00010_00000_00019.png           NO OVERTAKING BY TRUCKS  0.9995              
00010_00000_00020.png           NO OVERTAKING BY TRUCKS  0.8089              
00010_00000_00021.png           NO OVERTAKING BY TRUCKS  0.9506              
00010_00000_00022.png           NO OVERTAKING BY TRUCKS  0.9978              
00010_00000_00023.png           NO OVERTAKING BY TRUCKS  0.9996              
00010_00000_00024.png           NO OVERTAKING BY TRUCKS  1.0000              
00010_00000_00025.png           NO OVERTAKING BY TRUCKS  0.9999              
00010_00000_00026.png           NO OVERTAKING BY TRUCKS  1.0000              
00010_00000_00027.png           NO OVERTAKING BY TRUCKS  1.0000              
00010_00000_00028.png           NO OVERTAKING BY TRUCKS  1.0000              
00010_00000_00029.png           NO OVERTAKING BY TRUCKS  1.0000              
00010_00001_00000.png           NO OVERTAKING BY TRUCKS  0.8387              
00010_00001_00001.png           NO OVERTAKING BY TRUCKS  0.7005              
00010_00001_00002.png          SPEED LIMIT 60            0.4523              
00010_00001_00003.png           NO OVERTAKING BY TRUCKS  0.9846              
00010_00001_00004.png           NO OVERTAKING BY TRUCKS  0.9991              
00010_00001_00005.png           NO OVERTAKING BY TRUCKS  0.9858              
00010_00001_00006.png           NO OVERTAKING BY TRUCKS  0.9999              
00010_00001_00007.png           NO OVERTAKING BY TRUCKS  0.6392              
00010_00001_00008.png           NO OVERTAKING BY TRUCKS  0.9989              
00010_00001_00009.png           NO OVERTAKING BY TRUCKS  0.9988              
00010_00001_00010.png           NO OVERTAKING BY TRUCKS  0.9967              
00010_00001_00011.png           NO OVERTAKING BY TRUCKS  0.9710              
00010_00001_00012.png           NO OVERTAKING BY TRUCKS  0.9856              
00010_00001_00013.png           NO OVERTAKING BY TRUCKS  0.9802              
00010_00001_00014.png           NO OVERTAKING BY TRUCKS  0.9914              
00010_00001_00015.png           NO OVERTAKING BY TRUCKS  0.9960              
00010_00001_00016.png           NO OVERTAKING BY TRUCKS  0.9901              
00010_00001_00017.png           NO OVERTAKING BY TRUCKS  0.9932              
00010_00001_00018.png           NO OVERTAKING BY TRUCKS  0.9900              
00010_00001_00019.png           NO OVERTAKING BY TRUCKS  0.9808              
00010_00001_00020.png           NO OVERTAKING BY TRUCKS  0.5589              
00010_00001_00021.png           NO OVERTAKING BY TRUCKS  0.9912              
00010_00001_00022.png           NO OVERTAKING BY TRUCKS  0.9036              
00010_00001_00023.png           NO OVERTAKING BY TRUCKS  0.9688              
00010_00001_00024.png           NO OVERTAKING BY TRUCKS  0.9976              
00010_00001_00025.png           NO OVERTAKING BY TRUCKS  0.9941              
00010_00001_00026.png           NO OVERTAKING BY TRUCKS  0.9998              
00010_00001_00027.png           NO OVERTAKING BY TRUCKS  0.9999              
